source_temperature,source_temperature_c,mean_pressure,engine_speed,power,efficiency
773.15,500,1500,400,2250.0186,0.4258485
773.15,500,1500,700,3919.9058,0.42390244
773.15,500,1500,1000,5505.944,0.41575678
773.15,500,1500,1300,7044.3081,0.40825838
773.15,500,2500,400,3744.1555,0.45251928
773.15,500,2500,700,6514.3585,0.44985886
773.15,500,2500,1000,9137.058,0.44058362
773.15,500,2500,1300,11672.316,0.43198464
773.15,500,3000,400,4489.9503,0.46361143
773.15,500,3000,700,7807.506,0.4606238
773.15,500,3000,1000,10944.05,0.45084731
773.15,500,3000,1300,13971.538,0.44175854
923.15,650,1500,400,2536.4675,0.49251547
923.15,650,1500,700,4418.3091,0.49011953
923.15,650,1500,1000,6233.793,0.48309913
923.15,650,1500,1300,8009.1406,0.47660431
923.15,650,2500,400,4221.5702,0.52345501
923.15,650,2500,700,7345.0306,0.52030077
923.15,650,2500,1000,10350.14,0.51220659
923.15,650,2500,1300,13280.37,0.50465831
923.15,650,3000,400,5062.848,0.53632713
923.15,650,3000,700,8804.3125,0.5328266
923.15,650,3000,1000,12399.748,0.5242536
923.15,650,3000,1300,15901.203,0.51623433
1073.15,800,1500,400,2744.6508,0.54317863
1073.15,800,1500,700,4780.1535,0.5403733
1073.15,800,1500,1000,6765.782,0.53460447
1073.15,800,1500,1300,8718.4604,0.52923111
1073.15,800,2500,400,4568.5424,0.5773625
1073.15,800,2500,700,7948.1046,0.57376121
1073.15,800,2500,1000,11236.788,0.56698623
1073.15,800,2500,1300,14462.57,0.56061791
1073.15,800,3000,400,5479.2146,0.59158739
1073.15,800,3000,700,9528.0014,0.58762351
1073.15,800,3000,1000,13463.726,0.58039729
1073.15,800,3000,1300,17319.842,0.57358168
